ID,Name,Proponent,Project Type,AFOLU Activities,Methodology,Status,Country/Area,Estimated Annual Emission Reductions,Region,Project Registration Date,Crediting Period Start Date,Crediting Period End Date
2677,Anyang Tanggou MSW landfill site LFG recovery to power project,"Henan BCCY Environmental Energy CO.,LTD.",Energy industries (renewable/non-renewable sources); Waste handling and disposal,,ACM0001,Rejected by Administrator,China,56347,Asia,,,
2678,Shangqiu MSW landfill site LFG recovery to power project,"Henan BCCY Environmental Energy CO.,LTD.",Energy industries (renewable/non-renewable sources); Waste handling and disposal,,AMS-I.D.; AMS-III.G.,Rejected by Administrator,China,47600,Asia,,,
2679,Jiyuan MSW Landfill Site LFG Recovery to Power Project,"Henan BCCY Environmental Energy CO.,LTD.",Energy industries (renewable/non-renewable sources); Waste handling and disposal,,AMS-I.D.; AMS-III.G.,Registered,China,32397,Asia,2022-09-09,,
2680,Yichang Huangjiawan MSW Landfill site LFG Recovery to power project,"Henan BCCY Environmental Energy CO.,LTD.",Energy industries (renewable/non-renewable sources); Waste handling and disposal,,AMS-I.D.; AMS-III.G.,Registered,China,35795,Asia,2022-04-05,,
2681,Jiaozuo Zhouliu MSW Landfill site LFG Recovery to Power Project,"Henan BCCY Environmental Energy CO.,LTD.",Energy industries (renewable/non-renewable sources); Waste handling and disposal,,AMS-I.D.; AMS-III.G.,Rejected by Administrator,China,31755,Asia,,,
2682,Luoyang Landfill Site LFG Recovery to Electricity Project,"Henan BCCY Environmental Energy CO.,LTD.",Energy industries (renewable/non-renewable sources); Waste handling and disposal,,ACM0001,Rejected by Administrator,China,114743,Asia,,,
2683,Luohe MSW Landfill Site LFG Recovery to Power Project,"Henan BCCY Environmental Energy CO.,LTD.",Energy industries (renewable/non-renewable sources); Waste handling and disposal,,AMS-I.D.; AMS-III.G.,Rejected by Administrator,China,44223,,,,
2685,Madagascar Improved Cook Stove Project by KCM-Wood#CPA-W-009,Korea Carbon Management Ltd,Energy demand,,AMS-II.G.,Registered,Madagascar,37950,Africa,2022-09-11,2020-04-03,2030-04-02
2687,Madagascar Improved Cook Stove Project by KCM-Wood#CPA-W-010,Korea Carbon Management Ltd,Energy demand,,AMS-II.G.,Registered,Madagascar,37950,Africa,2023-02-15,2020-05-29,2030-05-28
2688,Madagascar Improved Cook Stove Project by KCM-Wood#CPA-W-011,Korea Carbon Management Ltd,Energy demand,,AMS-II.G.,Registered,Madagascar,37950,Africa,2022-11-14,2020-06-12,2030-06-11
2689,Madagascar Improved Cook Stove Project by KCM-Wood#CPA-W-012,Korea Carbon Management Ltd,Energy demand,,AMS-II.G.,Registered,Madagascar,37950,Africa,2022-12-07,2021-01-04,2031-01-03
2690,Madagascar Improved Cook Stove Project by KCM-Wood#CPA-W-013,Korea Carbon Management Ltd,Energy demand,,AMS-II.G.,Registered,Madagascar,37950,Africa,2022-12-15,2020-09-08,2030-09-07
2674,Inner Mongolia Moerdaoga Improved Forest Management Project,"Mo’erdaoga Forest Industry Co. LTD, China Inner Mongolia Forest Industry Group",Agriculture Forestry and Other Land Use,IFM,VM0010,On Hold,China,433518,Asia,,2016-09-28,2046-09-27
2675,UpEnergy-Social and Climate Impact Programme- DRC-1,UpEnergy Group,Energy demand,,VMR0006,Under development,"Congo, The Democratic Republic of The",2478882,Africa,,2022-04-01,2029-03-31
2676,Community Carbon Efficient Cooking Programme - Tanzania-1,Community Carbon,Energy demand,,VMR0006,Registered,Tanzania,933092,Africa,2023-09-26,2022-04-22,2029-04-21
2673,UpEnergy-Social and Climate Impact Programme- Nigeria-1,UpEnergy Group,Energy demand,,VMR0006,Registration and verification approval requested,Nigeria,1633731,Africa,,2022-05-07,2029-05-06
2668,Suzhou Landfill in Anhui Province Gas Utilization Project,"Henan BCCY Environmental Energy CO.,LTD.",Energy industries (renewable/non-renewable sources); Waste handling and disposal,,ACM0001,Rejected by Administrator,China,47389,,,2017-01-01,2023-12-31
2669,Shenyang Daxin Landfill Gas to Electricity Project,"Henan BCCY Environmental Energy CO.,LTD.",Energy industries (renewable/non-renewable sources); Waste handling and disposal,,ACM0001,Rejected by Administrator,China,146158,,,,
2671,Viet Nam Improved Cookstove Project by KCM – Improved Cookstove Project in Thanh Hoa Province – CPA 009,Korea Carbon Management Ltd,Energy demand,,AMS-II.G.,Registered,Viet Nam,51880,Asia,2023-01-16,2021-10-18,2031-10-17
2672,Viet Nam Improved Cookstove Project by KCM – Improved Cookstove Project in Thanh Hoa Province – CPA 010,Korea Carbon Management Ltd,Energy demand,,AMS-II.G.,Registered,Viet Nam,51880,Asia,2023-01-12,2021-10-18,2031-10-17
2661,Jilin Longjing IFM (conversion of logged to protected forest) Project,Longjing State owned Sanhe Forest Farm,Agriculture Forestry and Other Land Use,IFM,VM0010,Registration requested,China,20952,Asia,,2017-04-09,2037-04-08
2663,"AAC Blocks Project in Siddipet, Telengana by Sree Sai Rama Industries",Sree Sai Rama Industries,Manufacturing industries,,AMS-III.Z,Under development,India,6381,Asia,,2020-02-11,2027-02-10
2664,Installation of High Efficient Cook Stoves by EKI Energy Services Limited,EKI Energy Services Limited,Energy demand,,VMR0006,Registered,India,211856,Asia,2022-11-23,2020-02-15,2027-02-14
2660,KONYA ENERGY BIOGAS PLANT,Multiple Proponents,Waste handling and disposal,,AM0073,Registration and verification approval requested,Turkey,532368,Middle East,,2020-04-30,2027-04-29
2659,Ruijing Geothermal Based Space Heating System,"Wanjiang New Energy Group Co., Ltd.",Energy industries (renewable/non-renewable sources),,AM0072,Registered,China,495289,Asia,2022-10-07,2020-11-01,2030-10-31
2657,SHINE – Distribution of LED Lightbulbs in India-3,Multiple Proponents,Energy demand,,AMS-II.C.,Registered,India,55046,Asia,2022-11-29,2020-03-06,2030-03-05
2658,SHINE – Distribution of LED Lightbulbs in India-4,Brightspark Energy Pvt. Ltd.,Energy demand,,AMS-II.C.,Registered,India,54629,Asia,2022-11-29,2018-08-12,2028-08-11
2655,IMPROVED COOK STOVE PROGRAMME IN FIJI – CPA01,Korea Carbon Management Ltd,Energy demand,,AMS-II.G.,On Hold,Fiji,4431,Oceania,2023-01-17,2020-02-12,2027-02-11
2656,IMPROVED COOK STOVE PROGRAMME IN FIJI – CPA02,Korea Carbon Management Ltd,Energy demand,,AMS-II.G.,On Hold,Fiji,268415,Oceania,2023-01-17,2020-02-12,2027-02-11
2654,"AAC Blocks Project in Siddipet, Telengana by Sri Sai AAC Blocks",Sri Sai AAC Blocks,Manufacturing industries,,AMS-III.Z,Under development,India,8717,Asia,,2020-03-11,2027-03-10
2652,HENAN YIYANG AFFORESTATION PROJECT,"Guizhou Qianhe Carbon Technology Co., Ltd",Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Registered,China,281673,Asia,2023-09-19,2017-06-01,2077-05-31
2651,HENAN SONGXIAN AFFORESTATION PROJECT,"Guizhou Qianhe Carbon Technology Co., Ltd",Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Registration and verification approval requested,China,476777,Asia,,2017-06-01,2077-05-31
2647,Reforestation grouped project Norteak Nicaragua,Norteak Nicaragua S.A.,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Registered,Nicaragua,6357,Latin America,2022-12-01,2016-06-17,2046-06-16
2649,HOUSING DECARBONISATION IN THE UNITED KINGDOM,Arctica Partners,Energy demand,,VM0008,Registered,United Kingdom,69,Europe,2023-01-19,2022-07-01,2029-06-30
2645,BALIKESİR LANDFILL GAS (LFG) CAPTURE AND UTILIZATION PROJECT,Multiple Proponents,Energy industries (renewable/non-renewable sources); Waste handling and disposal,,ACM0001,Registered,Turkey,334919,Middle East,2022-10-26,2019-10-27,2026-10-26
2640,Great British Sustainable Farming Project,One Carbon World Ltd.,Agriculture Forestry and Other Land Use,ALM,VM0042,Registration requested,United Kingdom,107209,Europe,,2022-01-01,2051-12-31
2637,Yunnan Jinping IFM (conversion of logged to protected forest) Project,Multiple Proponents,Agriculture Forestry and Other Land Use,IFM,VM0010,Under development,China,30650,Asia,,2017-01-01,2036-12-31
2638,Hubei Xingshan IFM (conversion of logged to protected forest) Project,"Xingshan County Economic Development Investment Co., Ltd.",Agriculture Forestry and Other Land Use,IFM,VM0010,Registration requested,China,53557,Asia,,2017-03-09,2037-03-08
2639,Feitian 11 & Dabatian CMM Power Generation Project,Multiple Proponents,Energy industries (renewable/non-renewable sources); Mining/mineral production,,ACM0008,Registered,China,307867,Asia,2022-09-22,2021-01-02,2031-01-01
2635,Luohe Geothermal Based Space Heating System,"Wanjiang New Energy Group Co., Ltd.",Energy industries (renewable/non-renewable sources),,AM0072,Registered,China,481744,Asia,2022-08-15,2020-11-01,2030-10-31
2636,Eastern DRC Cookstove Project - South Kivu,OBEN EAC S.A,Energy demand,,VMR0006,Registered,"Congo, The Democratic Republic of The",189900,Africa,2022-10-08,2020-06-10,2027-06-09
2629,Adjusted Water Management in Rice Cultivation in South Jiangjin District,"Chongqing Gengfang Agricultural Development Co., Ltd.",Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,On Hold,China,53462,Asia,2022-08-05,2018-05-10,2025-05-09
2630,Adjusted Water Management in Rice Cultivation in Yongchuan District,"Chongqing Gengfang Agricultural Development Co., Ltd.",Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,On Hold,China,53345,Asia,2022-09-26,2018-05-06,2025-05-05
2631,Adjusted Water Management in Rice Cultivation in Dazu District,"Chongqing Gengfang Agricultural Development Co., Ltd.",Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,On Hold,China,58902,Asia,2022-06-07,2018-05-06,2025-05-05
2632,Adjusted Water Management in Rice Cultivation in Eastern Hechuan District,"Chongqing Gengfang Agricultural Development Co., Ltd.",Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,On Hold,China,52673,Asia,2022-09-28,2018-05-09,2025-05-08
2633,Adjusted Water Management in Rice Cultivation in Nanchuan District,"Chongqing Gengfang Agricultural Development Co., Ltd.",Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,On Hold,China,59331,Asia,2022-08-05,2018-05-13,2025-05-12
2634,Adjusted Water Management in Rice Cultivation in Tongnan District,"Chongqing Gengfang Agricultural Development Co., Ltd.",Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,On Hold,China,59868,Asia,2022-09-28,2018-05-11,2025-05-10
2626,Xiping Adjusted Water Management in Rice Cultivation,"Guizhou Zhongjian’yangchen Energy Investment Co., Ltd.",Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Registration and verification approval requested,China,59625,Asia,,2018-04-06,2025-04-05
2627,Xing’anwang Adjusted Water Management in Rice Cultivation,"Guizhou Zhongjian’yangchen Energy Investment Co., Ltd.",Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Registration and verification approval requested,China,59290,Asia,,2018-04-13,2025-04-12
2628,Yansiyin Adjusted Water Management in Rice Cultivation,"Guizhou Zhongjian’yangchen Energy Investment Co., Ltd.",Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Registration and verification approval requested,China,59188,Asia,,2018-04-10,2025-04-09
2622,Huiluo Adjusted Water Management in Rice Cultivation,"Guizhou Zhongjian’yangchen Energy Investment Co., Ltd.",Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Registration and verification approval requested,China,59785,Asia,,2018-04-22,2025-04-21
2623,Komaza Smallholder Farmer Forestry Kenya,Komaza Group Inc.,Agriculture Forestry and Other Land Use,ARR,AR-AMS0007,Registration and verification approval requested,Kenya,286630,Africa,,2017-05-01,2037-04-30
2621,YUNNAN DAYAO IFM (CONVERSION OF LOGGED TO PROTECTED FOREST) PROJECT,Multiple Proponents,Agriculture Forestry and Other Land Use,IFM,VM0010,Under development,China,53799,Asia,,2017-06-01,2037-05-31
2619,Tombwe Smallholder Reforestation Project,Tombwe Processing Limited,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Registration requested,Zambia,56657,Africa,,2019-10-01,2049-09-30
2620,Ribeirinho REDD+ Project,Multiple Proponents,Agriculture Forestry and Other Land Use,REDD,VM0015,Under development,Brazil,1521662,Latin America,,2018-07-01,2048-06-30
2618,COMACO Landscape Management Project - West,Community Markets for Conservation (COMACO),Agriculture Forestry and Other Land Use,ALM; REDD,VM0015; VM0017,Under validation,Zambia,147925,Africa,,2017-07-01,2027-06-30
2616,BQS improved cookstoves for Burundi’s schools,Burundi Quality Stoves S.A.,Energy industries (renewable/non-renewable sources),,AMS-I.E.,Registered,Burundi,187061,Africa,2022-11-22,,
2614,Lingbi County Wastewater Treatment Plant Project,"Lingbi Chenxin Green Industry Development Co., Ltd",Waste handling and disposal,,AM0080,Registered,China,67300,Asia,2022-08-02,2020-02-17,2030-02-16
2615,Jinjia Jiayi CMM Power Generation Project,"Guizhou Panjiang CBM Development&Utilization Co., Ltd.",Energy industries (renewable/non-renewable sources); Mining/mineral production,,ACM0008,Registered,China,129988,Asia,2022-01-31,2020-01-19,2030-01-18
2610,Unitán afforestation and reforestation of grazing lands project,UNITAN SAICA,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Registered,Argentina,7468,Latin America,2022-12-05,2016-09-16,2056-09-15
2611,CORAZÓN VERDE DEL CHACO PROJECT,Quadriz Paraguay S.A.,Agriculture Forestry and Other Land Use,REDD,VM0007,Registered,Paraguay,560138,Latin America,2023-03-21,2020-07-01,2050-06-30
2609,KUAMUT RAINFOREST CONSERVATION PROJECT,Permian Malaysia SDN. BHD,Agriculture Forestry and Other Land Use,IFM,VM0010,Registered,Malaysia,543049,Asia,2023-04-13,2015-12-11,2045-12-10
2607,Household Energy Efficiency Programme,Brightspark Energy Pvt. Ltd.,Energy demand,,VMR0006,Registered,India,680100,Asia,2023-01-19,2021-09-17,2031-09-16
2608,SHINE - Distribution of LED lightbulbs in India-2,Brightspark Energy Pvt. Ltd.,Energy demand,,AMS-II.C.,Registered,India,55082,Asia,2022-02-22,2018-08-12,2028-08-11
2603,Composting of organic waste project in Guangxi,"Guangxi Liyuanbao Science and Technology Co., Ltd.",Waste handling and disposal,,ACM0022,Registered,China,1527835,Asia,2022-07-08,2020-01-06,2027-01-05
2604,Grouped CNG Vehicles Project in India,EKI Energy Services Limited,Transport,,AMS-III.S.,Registration and verification approval requested,India,1500,Asia,,2020-01-16,2027-01-15
2605,İZMIR LANDFILL GAS (LFG) CAPTURE AND UTILIZATION PROJECT,Multiple Proponents,Energy industries (renewable/non-renewable sources); Waste handling and disposal,,ACM0001,Registered,Turkey,618042,Middle East,2022-10-26,2019-10-25,2026-10-24
2606,Fujian Qingliu IFM (conversion of logged to protected forest) Project,"Fujian Qingliu Forestry Co., Ltd.",Agriculture Forestry and Other Land Use,IFM,VM0010,Registered,China,101521,Asia,2022-05-16,2017-01-01,2046-12-31
2601,EnviroServ- Chloorkop Landfill Gas Recovery Project,EnviroServ Waste Management,Waste handling and disposal,,ACM0001,Registered,South Africa,72643,Africa,2022-04-20,,
2598,"Experimental regeneration of diverse forests on abandoned pastures in Panguana, Peru",Panguana Stiftung,Agriculture Forestry and Other Land Use,ARR,AR-AMS0007,Under development,Peru,9940,Latin America,,2021-11-01,2121-10-31
2599,Domestic Cooking Stoves substitution programme in Mozambique - CER Conversion,Converted from other GHG program,Energy demand,,AMS-II.G.,Units Transferred from Approved GHG Program,Mozambique,30373,Africa,,,
2600,Oeste de Caucaia Landfill Project Activity - CER Conversion,Converted from other GHG program,Waste handling and disposal,,ACM0001,Units Transferred from Approved GHG Program,Brazil,523569,Latin America,,,
2597,Grouped Electric Vehicles Project in India,EKI Energy Services Limited,Transport,,AMS-III.C.,Registration requested,India,1705,Asia,,2019-11-13,2026-11-12
2596,Tradewater International Honduras,Tradewater International SRL,Fugitive emissions from production and consumption of halocarbons and sulphur hexafluoride,,VM0016,Withdrawn,Honduras,8500,Latin America,,2021-12-01,2031-11-30
2591,Yongkang huachuan MSW landfill site LFG comprehensive utilization project,"Henan BCCY Environmental Energy CO.,LTD.",Energy industries (renewable/non-renewable sources); Waste handling and disposal,,AMS-I.D.; AMS-III.G.,Registered,China,48363,Asia,2022-08-10,2020-09-09,2030-09-08
2592,Hongya MSW landfill site biogas power generation project,"Henan BCCY Environmental Energy CO.,LTD.",Energy industries (renewable/non-renewable sources); Waste handling and disposal,,AMS-I.D.; AMS-III.G.,Registered,China,52132,Asia,2022-01-31,2021-04-02,2031-04-01
2593,Botou Hengjie MSW landfill site LFG comprehensive utilization project,"Henan BCCY Environmental Energy CO.,LTD.",Energy industries (renewable/non-renewable sources); Waste handling and disposal,,AMS-I.D.; AMS-III.G.,Registered,China,35034,Asia,2022-04-21,2020-11-10,2030-11-09
2594,Viet Nam Improved Cookstove Project by KCM – Improved Cookstove Project in Yen Bai Province – CPA 007,Korea Carbon Management Ltd,Energy demand,,AMS-II.G.,Registered,Viet Nam,42870,Asia,2023-02-05,2020-01-18,2030-01-17
2595,Viet Nam Improved Cookstove Project by KCM – Improved Cookstove Project in Yen Bai Province – CPA 008,Korea Carbon Management Ltd,Energy demand,,AMS-II.G.,Registered,Viet Nam,43093,Asia,2023-02-20,2020-01-18,2030-01-17
2588,Taiba N’Diaye Wind Power,Parc Eolien Taiba N’Diaye S.A.U,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,Senegal,243965,Africa,2022-01-25,2019-12-09,2029-12-08
2590,REGENERATIVE AGRICULTURE IN RICE-WHEAT-MAIZE SYSTEM FOR INCOME GENERATION,Grow Indigo Private Ltd,Agriculture Forestry and Other Land Use,ALM,VM0042,Under development,India,4267622,Asia,,2019-07-01,2039-06-30
2584,"Grouped Reforestation Project in Indore, India",EKI Energy Services Limited,Agriculture Forestry and Other Land Use,ARR,AR-AMS0007; AR-ACM0003,On Hold,India,5597,Asia,,2017-06-25,2037-06-24
2585,Solid Waste to Bio CNG Production Facility in India,EKI Energy Services Limited,Energy industries (renewable/non-renewable sources); Waste handling and disposal,,AMS-III.AO.; ACM0022,Registration and verification approval requested,India,56700,Asia,,2019-10-15,2026-10-14
2586,413 REDD Project,"413 Environmental, LLC",Agriculture Forestry and Other Land Use,REDD,VM0007,Under validation,Brazil,1465769,Latin America,,2021-01-01,2050-12-31
2587,Zero Carbon Aripuanã River Valley REDD Project 1,"Zero Carbon Holdings, LLC",Agriculture Forestry and Other Land Use,REDD,VM0007,Under validation,Brazil,456864,Latin America,,2021-01-01,2050-12-31
2581,Grouped projects for Mekong River Delta Water Purifier,Sustainability Investment Promotion and Development Joint Stock Company,Energy demand,,AMS-III.AV.,Registered,Viet Nam,1202693,Asia,2022-07-25,2021-11-10,2031-11-09
2582,Zhijiang Shibaoshan LFG Power Generation Project,"Zhijiang Xinzhongshui Chufeng Environmental Protection Technology Co., Ltd",Energy industries (renewable/non-renewable sources); Waste handling and disposal,,AMS-I.D.; AMS-III.G.,Registered,China,44138,Asia,2022-03-07,2021-01-11,2031-01-10
2578,PANAMA FORESTS CONSERVATION PROJECT REDUCTION OF GHG EMISSIONS THROUGH DEFORESTATION AND AVOIDED DEGRADATION.  -Alliance of Indigenous Peoples and Rural Communities of Panama-,APRONAD Asociacion para la Promocion de Nuevas Alternativas de Desarrllo,Agriculture Forestry and Other Land Use,REDD,VM0015,Inactive,Panama,1398681,Latin America,,2016-10-27,2046-10-26
2577,Establishing a Rubber Cultivation Project with Community Engagement in the Eastern & Uva Provinces of Sri Lanka,Rubber Reseach Institute of Sri Lanka,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Registration requested,Sri Lanka,58510,Asia,,2017-11-10,2047-11-09
2576,Montes del Este afforestation through high quality timber in degraded grasslands,Fideicomiso Financiero Forestal Montes del Este,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Registered,Uruguay,38000,Latin America,2023-06-14,2016-10-30,2076-10-29
2573,SANTIAGO PONIENTE LANDFILL GAS  PROJECT,Veolia,Energy industries (renewable/non-renewable sources); Waste handling and disposal,,ACM0001,Registration requested,Chile,358590,Latin America,,2021-11-30,2028-11-29
2570,Henan Tongbai and Zhenping Afforestation Project,"Beijing Qianyuhui Environmental Technology Co., Ltd.",Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Under development,China,339387,Asia,,2017-06-01,2077-05-31
2571,Renewable Electricity Grouped Project in Africa,Multiple Proponents,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Registered,Tanzania,10208,Africa,2022-11-09,2021-02-09,2028-02-08
2568,Hainan Lingshui Mangrove Blue Carbon Project,Lingshui County Forestry Bureau,Agriculture Forestry and Other Land Use,ARR,AR-AM0014,Registration requested,China,2527,Asia,,2016-05-21,2046-05-20
2569,Sichuan Yingjing IFM (conversion of logged to protected forest) Project,"Yingjing County State-owned Assets Management Co., Ltd",Agriculture Forestry and Other Land Use,IFM,VM0010,Under validation,China,27057,Asia,,2017-01-01,2046-12-31
2566,The Serra do Amolar REDD+ Project,Instituto Homem Pantaneiro,Agriculture Forestry and Other Land Use,REDD,VM0015,Registered,Brazil,90592,Latin America,2023-04-21,2016-07-01,2046-06-30
2567,Soc Son Waste to Power Plant Project,Multiple Proponents,Energy industries (renewable/non-renewable sources); Waste handling and disposal,,ACM0022,Registered,Viet Nam,544076,Asia,2023-08-23,2022-07-24,2029-07-23
2565,Yunnan Qiubei Afforestation Project,Multiple Proponents,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Registered,China,135706,Asia,2022-12-15,2017-06-01,2077-05-31
2564,Distribution of Justa model Chimney Rocket Stoves in Central America,JustaStoveWorks LLC,Energy demand,,AMS-II.G.; VMR0006,Registration requested,Guatemala,40195,Latin America,,2020-07-24,2030-07-23
2563,AMG OHIO COMPLEX GHG EMISSIONS REDUCTION PROJECT,AMG Advanced Metallurgical Group N.V.,Metal production; Mining/mineral production,,Methodology Under Development,Under development,United States,200000,North America,,2021-08-01,2031-07-31
2557,Grouped projects for water purifiers for climate and community action,Sustainability Investment Promotion and Development Joint Stock Company,Energy demand,,AMS-III.AV.,Registered,Viet Nam,59152,Asia,2022-01-20,2021-11-01,2031-10-31
2558,ABC Norte REDD Project,Multiple Proponents,Agriculture Forestry and Other Land Use,REDD,VM0015,Registered,Brazil,1340740,Latin America,2023-01-30,2017-09-13,2047-09-12
2556,Southern Paraguay Sustainable Afforestation Project,SAIFF Hold Co. Ltd.,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Registered,Paraguay,170514,Latin America,2023-05-08,2016-11-18,2046-11-17
2555,"Improving rural livelihood through agroforestry practices in Punjab, India- II","Department of Forests and Wildlife Preservation, Punjab",Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Registration and verification approval requested,India,1571328,Asia,,2017-07-01,2037-06-30
2554,CNG AgriCarbon Rewards Programme,Climate Neutral Group.,Agriculture Forestry and Other Land Use,ALM,VM0042,Registration and verification approval requested,South Africa,94375,Africa,,2017-04-01,2037-03-31
2553,Restoring Degraded Lands for Biodiversity Conservation and Livelihood Development in Brazil,"Saving Nature, Inc.",Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Under development,Brazil,7666,Latin America,,2017-10-01,2057-09-30
2552,"Improving rural livelihood through agroforestry practices in Punjab, India- I","Department of Forests and Wildlife Preservation, Punjab",Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Registration and verification approval requested,India,1098123,Asia,,2017-07-01,2037-06-30
2551,BRAZILIAN AMAZON APD GROUPED PROJECT,BRCARBON SERVIÇOS AMBIENTAIS LTDA,Agriculture Forestry and Other Land Use,REDD,VM0007,Registered,Brazil,812538,Latin America,2022-11-10,2021-08-02,2121-08-01
2549,Renewable Energy Grouped Project based on biogas from cattle waste/ agricultural feed stock,EKI Energy Services Limited,Energy industries (renewable/non-renewable sources); Waste handling and disposal,,AMS-I.D.; AMS-I.F.; AMS-III.D.,On Hold,India,21602,Asia,,2020-09-30,2027-09-29
2548,Grouped projects for Improved cookstove for climate and community action,Sustainability Investment Promotion and Development Joint Stock Company,Energy demand,,AMS-II.G.,Registered,Viet Nam,52083,Asia,2022-03-04,2021-11-01,2031-10-31
2547,ACAP Albania Vjosë-Nartë A/R project,Carbon Sink Group s.r.l.,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Registered,Albania,30,Europe,2022-10-13,2021-01-19,2041-01-18
2546,Enking International Grouped project – Solar Water Heating systems,Multiple Proponents,Energy industries (renewable/non-renewable sources),,AMS.I.J1,Under development,India,101,Asia,,2019-12-21,2029-12-20
2540,Improved cookstoves for Burundi restaurants,OBEN EAC S.A,Energy industries (renewable/non-renewable sources),,AMS-I.E.,Registered,Burundi,661007,Africa,2022-07-13,2020-02-03,2027-02-02
2539,EVERGREEN REDD+ PROJECT,Multiple Proponents,Agriculture Forestry and Other Land Use,REDD,VM0007,Registered,Brazil,1566547,Latin America,2022-04-14,2020-11-25,2050-11-24
2538,Pendjari and W-Benin National Parks REDD+ Project,African Parks Benin (A Branch of African Parks Network),Agriculture Forestry and Other Land Use,REDD,VM0009,Registered,Benin,269843,Africa,2023-10-05,2017-08-24,2047-08-23
2536,Zen Global Biogas Energy Plant,Multiple Proponents,Waste handling and disposal,,AM0073,Registration requested,Turkey,135392,Middle East,,2019-10-25,2026-10-24
2537,Gansu Gaotai Biogas Recovery and Utilization Project,"Gansu Founder Energy Conservation Sci&Tech Service Co., Ltd.",Energy industries (renewable/non-renewable sources); Waste handling and disposal,,AMS-III.D.,Registered,China,31631,Asia,2021-12-16,2019-11-01,2026-10-31
2533,Improved Cookstove Programme by SDG13 in India,SDG 13 Ventures Pte. Ltd.,Energy demand,,VMR0006,Registered,India,1966523,Asia,2022-07-02,2022-01-01,2031-12-31
2535,Skyridge Farms Advanced Solid Separation Project,Skyridge Farms,"Livestock, enteric fermentation, and manure management",,AMS-III.Y; VMR0003,Registered,United States,10000,North America,2023-05-08,2019-10-23,2026-10-22
2531,Grouped project for reforestation on degraded and non-forest lands,EKI Energy Services Limited,Agriculture Forestry and Other Land Use,ARR,AR-AMS0003; AR-AMS0007; AR-ACM0003; AR-AM0014,Under development,India,36000,Asia,,2018-09-29,2038-09-28
2532,Cumare carbon project,Reforestadora Cumare S.A.S.,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Registered,Colombia,29180,Latin America,2022-08-08,2016-11-01,2116-10-31
2530,Facilitating the transition to low emitting electric auto-rickshaws in India,Three Wheels United Inc.,Transport,,AMS-III.C.,Under development,India,197472,Asia,,2021-04-01,2028-03-31
2529,Hainan Lingao LFG Power Generation Project,"Hainan Lingao Qinghong Environmental Protection Technology Co., Ltd.",Energy industries (renewable/non-renewable sources); Waste handling and disposal,,AMS-III.G.,Under development,China,18962,Asia,,2020-08-31,2030-08-30
2526,Clean Air and Healthy Soil,Multiple Proponents,Agriculture Forestry and Other Land Use,ALM,VM0017,Registration requested,India,178434,Asia,,2018-08-01,2038-07-31
2527,Maesod Wastewater Treatment and Biogas Utilisation Project,Thai Wah Public Company Limited,Energy industries (renewable/non-renewable sources); Waste handling and disposal,,AMS-I.C.; AMS-I.D.; AMS-III.H.,Rejected by Administrator,Thailand,53241,Asia,,2020-03-22,2027-03-21
2525,Ziyang LFG Power Generation Project,Ziyang Oasis Xinzhongshui Environmental Protection Technology Co. Ltd.,Energy industries (renewable/non-renewable sources); Waste handling and disposal,,ACM0001,Registered,China,81291,Asia,2022-03-29,2020-03-15,2030-03-14
2521,Installation of high efficiency wood burning cookstoves in Laos,C-Quest Capital SGT Asia Stoves Private Limited,Energy demand; Energy industries (renewable/non-renewable sources),,VMR0006,Registered,Lao,373095,Asia,2022-07-11,2022-05-04,2032-05-03
2522,Installation of high efficiency wood burning cookstoves in Thailand,C-Quest Capital SGT Asia Stoves Private Limited,Energy demand,,VMR0006,Registered,Thailand,1900000,Asia,2022-12-21,2021-06-22,2031-06-21
